Name,Constitutional status,Capital
//upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/23px-Flag_of_France.svg.png Clipperton Island,State private property under the direct authority of the Minister of Overseas France,Uninhabited
//upload.wikimedia.org/wikipedia/commons/thumb/d/db/Flag_of_French_Polynesia.svg/23px-Flag_of_French_Polynesia.svg.png French Polynesia," Designated as an overseas land ( pays d'outre-mer  or POM), the status is the same as an overseas collectivity. ",Papeete
//upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Flag_of_the_French_Southern_and_Antarctic_Lands.svg/23px-Flag_of_the_French_Southern_and_Antarctic_Lands.svg.png French Southern and Antarctic Lands,Overseas territory ( territoire d'outre-mer  or TOM),Port-aux-Français
//upload.wikimedia.org/wikipedia/commons/thumb/2/26/Flags_of_New_Caledonia.svg/43px-Flags_of_New_Caledonia.svg.png New Caledonia,Sui generis  collectivity,Nouméa
//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Saint_Barth%C3%A9lemy_%28local%29.svg/23px-Flag_of_Saint_Barth%C3%A9lemy_%28local%29.svg.png Saint Barthélemy,Overseas collectivity ( collectivité d'outre-mer  or COM)," Gustavia, Saint Barthélemy "
//upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/23px-Flag_of_France.svg.png Saint Martin,Overseas collectivity ( collectivité d'outre-mer  or COM)," Marigot, Saint Martin "
//upload.wikimedia.org/wikipedia/commons/thumb/7/74/Flag_of_Saint-Pierre_and_Miquelon.svg/23px-Flag_of_Saint-Pierre_and_Miquelon.svg.png Saint Pierre and Miquelon,Overseas collectivity ( collectivité d'outre-mer  or COM). Still referred to as a  collectivité territoriale .," Saint-Pierre, Saint Pierre and Miquelon "
//upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Flag_of_Wallis_and_Futuna.svg/23px-Flag_of_Wallis_and_Futuna.svg.png Wallis and Futuna,Overseas collectivity ( collectivité d'outre-mer  or COM). Still referred to as a  territoire .,Mata-Utu
